Hysea 10:22:59.602 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hysea.DatabaseAndMybatisTableDiffTest], using SpringBootContextLoader
Hysea 10:22:59.606 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.hysea.DatabaseAndMybatisTableDiffTest]: no resource found for suffixes {-context.xml, Context.groovy}.
Hysea 10:22:59.607 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hysea.DatabaseAndMybatisTableDiffTest]: DatabaseAndMybatisTableDiffTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
Hysea 10:22:59.698 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hysea.Main for test class com.hysea.DatabaseAndMybatisTableDiffTest
Hysea 10:22:59.765 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
Hysea 10:22:59.777 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@107ed6fc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1643d68f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@186978a6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2e029d61, org.springframework.test.context.support.DirtiesContextTestExecutionListener@482d776b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4052274f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@132ddbab, org.springframework.test.context.event.EventPublishingTestExecutionListener@297ea53a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@acb0951, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5bf22f18, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@267f474e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7a7471ce, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@28276e50, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@62e70ea3]
Hysea 10:23:00.049 [main] INFO  c.h.DatabaseAndMybatisTableDiffTest - Starting DatabaseAndMybatisTableDiffTest on AYI-20210511MWM with PID 41756 (started by Administrator in D:\back-end\springboot\springboot单元测试\对比数据库表和TableName映射\demo)
Hysea 10:23:00.050 [main] INFO  c.h.DatabaseAndMybatisTableDiffTest - The following profiles are active: test
Hysea 10:23:00.631 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.hysea.*.mapper]' package. Please check your configuration.
Hysea 10:23:01.207 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
Hysea 10:23:01.957 [main] INFO  c.h.DatabaseAndMybatisTableDiffTest - Started DatabaseAndMybatisTableDiffTest in 2.148 seconds (JVM running for 2.943)
Hysea 10:23:05.910 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
Hysea 10:23:06.026 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
Hysea 10:23:06.367 [main] INFO  c.h.s.TableOfDatabaseAndMybatisDiffScanner - ------
Hysea 10:23:06.367 [main] INFO  c.h.s.TableOfDatabaseAndMybatisDiffScanner - PO对象缺失：
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_option"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_file"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_test"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_file"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_icon"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_paper"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_standard_dept"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_role"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_course"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_to"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_application_for_leave_meal"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_seat_table"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_project"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_area"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_project_dept_type"表的PO对象。
Hysea 10:23:06.368 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_test_subject_subject_score_type"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_test_type"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_contract"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_evaluation_situation"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_receive"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_semester"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_folder"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_menu"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_click_function"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_type"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_user_dept"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_role_menu"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_general_content"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_option_level"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_seat_table_dept"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_contract"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_request_monitoring_task"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_dept_bind_dept_type"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_general_score_type"表的PO对象。
Hysea 10:23:06.369 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_general_score_type"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_duty_group"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_test_subject_subject_type"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_course_time"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_time_interval_type"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_duty_turn"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_read_file"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_semester"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_selector"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_time_interval"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_type_receiver_operate"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_icon_type"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_rest"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_contract_function"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_record"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_duty_group_2"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_user_role"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_seat_table_type"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_school_area"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_post"表的PO对象。
Hysea 10:23:06.370 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_standard"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_work_attendance_state_count"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_repair"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_paper_topic"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_dept_type"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_semester"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_read_history"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_subject_score"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_dimension"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_general_score"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_option_rule_item"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_user_evaluation"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_receiver_operate"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_user_subject_relationship"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_form_label_default"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_deposit"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_check"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_function"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_project_function"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_weixin_notice"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_notice_receiver_option"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_standard_dimension"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_dept_selector"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_evaluation"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_file_type"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_selector_type"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_work_attendance_state"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_topic"表的PO对象。
Hysea 10:23:06.371 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_receiver_option"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_template"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_file_folder"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_menu_form"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_dept_have_dept_type"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dimension"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_relationship"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_relationship_type"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_situation"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_folder_notice_receiver_operate"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_evaluation"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_user_post"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_work_attendance_dept"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_receiver_option_type"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_request_param"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_duty_group_teacher"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_real_dept_type"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_record_router"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_template"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_selector_option"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_manual"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_duty_group_teacher_2"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_clock_in"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_form"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_subject_score_type"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_bind_type"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_application_for_leave"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_type_project"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_click_function"表的PO对象。
Hysea 10:23:06.372 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_option"表的PO对象。
Hysea 10:23:06.373 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_dept_record_teacher"表的PO对象。
Hysea 10:23:06.373 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_notice_type_dept_type"表的PO对象。
Hysea 10:23:06.373 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_user_identity"表的PO对象。
Hysea 10:23:06.373 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_work_attendance"表的PO对象。
Hysea 10:23:06.373 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_request"表的PO对象。
Hysea 10:23:06.373 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"me_rest"表的PO对象。
Hysea 10:23:06.373 [main] WARN  c.h.s.TableOfDatabaseAndMybatisDiffScanner - 未定义"sys_role_dept_level"表的PO对象。
